rodada,ano,civilizacao,cultura,melhor,classes,experimentos
0,210,1,Carbono/amonia,0.979893,8,2292
0,210,2,Carbono/acido sulfurico,0.98783,10,4530
0,210,3,Carbono/metano,0.954996,10,1733
0,210,4,Silicio/agua,1,10,6228
0,210,5,Silicio/acido sulfurico,0.98602,8,4552
0,215,0,Carbono/agua,0.946836,8,5452
0,215,1,Carbono/amonia,0.98602,8,2348
0,215,2,Carbono/acido sulfurico,0.98783,10,4735
0,215,3,Carbono/metano,0.954996,10,1805
0,215,4,Silicio/agua,1,10,6784
0,215,5,Silicio/acido sulfurico,0.98602,8,4777
0,220,0,Carbono/agua,0.946836,8,5722
0,220,1,Carbono/amonia,0.98602,8,2404
0,220,2,Carbono/acido sulfurico,0.98783,10,4940
0,220,3,Carbono/metano,0.956708,10,1876
0,220,4,Silicio/agua,1,10,7339
0,220,5,Silicio/acido sulfurico,0.98602,8,5002
0,225,0,Carbono/agua,0.946836,8,5990
0,225,1,Carbono/amonia,0.98602,9,2493
0,225,2,Carbono/acido sulfurico,0.98783,10,5146
0,225,3,Carbono/metano,0.958114,10,1946
0,225,4,Silicio/agua,1,10,7894
0,225,5,Silicio/acido sulfurico,0.98602,8,5227
0,230,0,Carbono/agua,0.946836,8,6472
0,230,1,Carbono/amonia,0.98602,9,2603
0,230,2,Carbono/acido sulfurico,0.98783,10,5351
0,230,3,Carbono/metano,0.958114,10,2017
0,230,4,Silicio/agua,1,10,8450
0,230,5,Silicio/acido sulfurico,0.98602,8,5452
0,235,0,Carbono/agua,0.946836,8,7008
0,235,1,Carbono/amonia,0.98602,9,2715
0,235,2,Carbono/acido sulfurico,0.98783,10,5557
0,235,3,Carbono/metano,0.958114,10,2087
0,235,4,Silicio/agua,1,10,9005
0,235,5,Silicio/acido sulfurico,0.98602,8,5677
0,240,0,Carbono/agua,0.946836,8,7544
0,240,1,Carbono/amonia,0.98602,9,2826
0,240,2,Carbono/acido sulfurico,0.98783,10,5763
0,240,3,Carbono/metano,0.976647,10,2158
0,240,4,Silicio/agua,1,10,9562
0,240,5,Silicio/acido sulfurico,0.98602,8,5903
0,245,0,Carbono/agua,0.946836,8,8079
0,245,1,Carbono/amonia,0.98783,9,2937
0,245,2,Carbono/acido sulfurico,0.98783,10,5971
0,245,3,Carbono/metano,0.976647,10,2230
0,245,4,Silicio/agua,1,10,10121
0,245,5,Silicio/acido sulfurico,0.98783,9,6129
0,250,0,Carbono/agua,0.946836,9,8614
0,250,1,Carbono/amonia,0.98783,9,3048
0,250,2,Carbono/acido sulfurico,0.98783,10,6179
0,250,3,Carbono/metano,0.976647,10,2303
0,250,4,Silicio/agua,1,10,10678
0,250,5,Silicio/acido sulfurico,0.98783,9,6355
0,255,0,Carbono/agua,0.946836,10,9151
0,255,1,Carbono/amonia,0.98783,9,3160
0,255,2,Carbono/acido sulfurico,0.98783,10,6385
0,255,3,Carbono/metano,0.976647,10,2374
0,255,4,Silicio/agua,1,10,11235
0,255,5,Silicio/acido sulfurico,0.98783,9,6582
0,260,0,Carbono/agua,0.946836,10,9687
0,260,1,Carbono/amonia,0.98783,9,3272
