cenario,tempo_apos_formacao_gyr,tempo_cosmico_gyr
Rapido,3.41263,11.3606
Rapido,4.09872,9.63985
Rapido,3.43296,6.81866
Rapido,0.990334,6.94142
Rapido,3.09596,10.7827
Rapido,2.20605,6.21314
Rapido,2.01156,5.05415
Rapido,0.847673,4.76907
Rapido,3.56188,7.57944
Rapido,1.35968,5.37822
Rapido,1.62818,11.0824
Rapido,2.5857,6.2779
Rapido,1.3079,3.51615
Rapido,2.5027,14.8137
Rapido,1.65287,7.09854
Rapido,1.58285,7.40885
Rapido,2.49559,7.86538
Rapido,2.54391,6.68834
Rapido,1.39973,5.41311
Rapido,4.08974,10.4339
Rapido,2.52133,6.84517
Rapido,1.79437,12.088
Rapido,1.06043,5.74842
Rapido,2.71899,7.91387
Rapido,1.48611,4.74293
Rapido,1.34408,4.31223
Rapido,1.61486,10.7159
Rapido,1.38294,11.8981
Rapido,1.53279,5.99509
Rapido,2.4452,8.02217
Rapido,1.33479,3.44846
Rapido,1.06337,10.7312
Rapido,1.14546,3.404
Rapido,1.01849,3.5533
Rapido,3.27265,8.08464
Rapido,1.08375,7.56715
Rapido,2.34765,6.61425
Rapido,2.53717,8.22599
Rapido,3.44863,8.57794
Rapido,2.11407,6.20487
Rapido,1.38455,6.88694
Rapido,2.31391,7.17308
Rapido,2.4867,7.74407
Rapido,2.37464,11.7403
Rapido,1.86561,6.31906
Rapido,2.75773,15.1597
Rapido,3.49576,12.2828
Rapido,1.995,6.64079
Rapido,1.9505,5.80474
Rapido,2.63468,7.14972
Rapido,3.40982,11.1
Rapido,0.902335,3.79039
Rapido,1.78111,7.54311
Rapido,1.28332,2.81217
Rapido,3.26256,10.5914
Rapido,2.69967,9.13442
Rapido,2.7987,6.66754
Rapido,1.99607,9.28511
Rapido,3.30045,7.99058
Rapido,2.4728,10.3088
Rapido,1.55517,7.25689
Rapido,3.63089,8.47012
Rapido,3.52668,6.23271
Rapido,2.61057,9.76094
Rapido,4.97088,17.9473
Rapido,1.2737,5.23018
Rapido,1.73545,9.73553
Rapido,1.91349,4.78964
Rapido,2.90323,9.27676
Rapido,0.945371,6.82385
Rapido,2.23893,6.13505
Rapido,2.44677,5.91055
Rapido,2.82336,9.57274
Rapido,1.71684,8.03243
Rapido,1.11743,6.06212
Rapido,3.77226,8.56192
Rapido,2.21412,7.43799
Rapido,2.12869,7.75378
Rapido,0.865603,4.31996
Rapido,2.65695,6.85845
Rapido,1.13671,6.7952
Rapido,3.47071,9.39665
Rapido,2.4707,7.90726
Rapido,3.23291,9.87707
Rapido,2.05043,8.64209
Rapido,1.98914,6.29105
Rapido,1.97349,6.18588
Rapido,2.88737,11.2449
Rapido,1.65047,14.9781
Rapido,2.46793,10.26
Rapido,0.980595,5.85887
Rapido,3.63022,6.81923
Rapido,2.01743,6.89611
Rapido,2.15473,4.39949
Rapido,0.990881,7.55082
Rapido,1.25482,6.28069
Rapido,0.74646,3.23812
Rapido,2.83447,11.7789
Rapido,1.7676,7.59413
Rapido,1.44414,12.6879
Rapido,2.60095,11.7747
Rapido,1.09163,6.08229
Rapido,2.1985,7.65656
Rapido,3.0667,13.262
Rapido,0.70721,5.76214
Rapido,2.03994,7.32879
Rapido,1.74206,4.86468
Rapido,2.10927,13.0591
Rapido,1.83668,4.91021
Rapido,1.87663,6.46216
Rapido,0.803425,2.7842
Rapido,2.07973,4.43488
Rapido,3.17472,16.0469
Rapido,1.10636,4.21195
Rapido,1.81315,4.31583
Rapido,1.2904,5.42507
Rapido,1.18296,7.40466
Rapido,1.41686,6.02695
Rapido,2.97503,7.35331
Rapido,1.45934,1.96974
Rapido,1.85736,11.9925
Rapido,1.96582,6.81762
Rapido,1.97702,12.2355
Rapido,1.0793,10.1166
Rapido,1.68648,3.46367
Rapido,1.89183,5.44435
Rapido,2.31069,5.64454
Rapido,1.12104,6.99261
Rapido,3.1646,8.68061
Rapido,2.55221,4.63063
Rapido,2.22956,8.45258
Rapido,1.36967,7.23005
Rapido,2.7386,16.4523
Rapido,1.86372,6.01262
Rapido,6.70758,9.08776
Rapido,1.17043,11.6223
Rapido,2.08955,7.5731
Rapido,1.23346,7.03783
Rapido,2.45621,6.38215
Rapido,3.19549,11.8666
Rapido,0.892223,3.78955
Rapido,2.50573,10.9998
Rapido,2.38441,6.81039
Rapido,1.50509,4.82079
Rapido,4.87169,17.4972
Rapido,1.48384,10.4877
Rapido,1.29267,11.2592
Rapido,1.85344,10.2294
Rapido,2.30965,14.8687
Rapido,4.47408,7.60043
Rapido,2.37516,8.56907
Rapido,1.98222,7.90208
Rapido,3.3961,4.89679
Rapido,2.1818,8.4355
Rapido,6.21793,8.74878
Rapido,2.58851,6.35074
Rapido,1.31782,4.66574
Rapido,5.31855,10.322
Rapido,2.91425,10.9243
Rapido,1.89273,5.19487
Rapido,1.97172,5.28643
Rapido,2.02429,8.89039
Rapido,1.82169,7.60121
Rapido,1.75168,4.35382
Rapido,2.83278,14.0905
Rapido,2.29372,12.2024
Rapido,1.11513,5.18673
Rapido,2.23069,9.26416
Rapido,0.611374,5.24023
Rapido,2.17376,8.52474
Rapido,1.02171,6.40512
Rapido,1.96847,10.0348
Rapido,1.64268,7.95841
Rapido,2.00084,4.95959
Rapido,0.893288,5.09052
Rapido,2.69448,8.02431
Rapido,1.32135,5.2167
Rapido,0.855564,7.87261
Rapido,1.5562,8.17173
Rapido,0.632822,1.89197
Rapido,1.83237,14.6707
Rapido,3.88344,16.2061
Rapido,5.27971,9.42353
Rapido,3.20569,12.1373
Rapido,1.34542,8.63947
Rapido,5.56971,17.0803
Rapido,2.70096,7.87606
Rapido,1.51722,4.95524
Rapido,2.80407,8.01568
Rapido,2.11775,5.44591
Rapido,3.25417,5.99042
Rapido,2.96813,15.4433
Rapido,2.5084,11.1023
Rapido,3.3343,12.4545
Rapido,1.51605,4.85552
Rapido,1.39814,13.4641
Rapido,0.958815,4.95541
Rapido,2.14291,5.59795
Rapido,3.47798,10.3271
Rapido,3.97897,8.68055
Rapido,5.04968,9.87773
Rapido,3.21787,5.60644
Rapido,1.5448,3.89393
Rapido,1.85316,4.62862
Rapido,3.74001,9.28135
Rapido,1.34961,8.3918
Rapido,2.2026,7.46209
Rapido,1.43386,6.15025
Rapido,1.14252,4.87698
Rapido,1.50232,6.8951
Rapido,1.8836,7.04378
Rapido,1.98047,8.96547
Rapido,0.919388,4.15376
Rapido,3.71177,12.1283
Rapido,1.30563,4.70835
Rapido,2.91531,6.42805
Rapido,1.56493,2.51234
Rapido,1.77835,3.2948
Rapido,1.04984,4.71995
Rapido,1.3754,7.79254
Rapido,1.34206,2.45362
Rapido,3.58277,6.36649
Rapido,3.08212,7.75039
Rapido,2.28697,15.7535
Rapido,1.77657,4.32221
Rapido,2.10273,9.19539
Rapido,2.06276,4.61016
Rapido,1.4028,5.04536
Rapido,2.31627,8.26506
Rapido,1.32128,7.61711
Rapido,1.41169,6.40851
Rapido,1.26942,14.4146
Rapido,2.22285,5.85534
Rapido,2.54245,8.21271
Rapido,1.61389,4.71999
Rapido,1.31071,6.7669
Rapido,1.51046,8.71426
Rapido,2.01035,11.9834
Rapido,1.77203,11.2485
Rapido,1.29711,7.27604
Rapido,1.76189,12.7613
Rapido,2.30929,4.97734
Rapido,2.25702,9.70288
Rapido,2.21922,8.41413
Rapido,1.70744,4.91902
Rapido,2.80542,12.1908
Rapido,2.51184,7.84453
Rapido,3.78081,8.73546
Rapido,1.52722,11.4352
Rapido,1.17965,7.06954
Rapido,1.01637,6.15753
Rapido,2.00685,8.69443
Rapido,3.06022,7.47643
Rapido,0.886144,3.08366
Rapido,2.95853,8.41594
Rapido,2.49685,11.2624
Rapido,3.07256,7.57669
Rapido,1.98823,8.07669
Rapido,0.98716,8.02094
Rapido,1.58213,7.47627
Rapido,1.1191,14.3424
Rapido,1.472,7.84783
Rapido,2.03379,9.40148
Rapido,1.35701,4.67118
Rapido,3.63316,10.2416
Rapido,4.13366,7.35442
Rapido,1.77713,8.91773
Rapido,2.56803,6.90116
Rapido,1.97795,12.7735
Rapido,4.40033,10.0448
Rapido,1.96896,7.41441
Rapido,3.90626,8.49429
Rapido,0.742734,7.7798
Rapido,3.26696,5.67288
Rapido,2.81709,10.4513
Rapido,2.42738,5.59361
Rapido,4.19091,11.3605
Rapido,1.61319,5.46607
Rapido,2.59153,13.4864
Rapido,3.00609,8.05305
Rapido,2.28946,6.06037
Rapido,2.96472,8.6776
Rapido,0.6492,5.77938
Rapido,1.62979,9.43061
Rapido,3.14253,6.32368
Rapido,2.04328,3.2443
Rapido,1.60224,5.61306
Rapido,2.36552,7.87371
Rapido,4.36996,17.9233
Rapido,3.82474,8.5998
Rapido,1.75405,4.9931
Rapido,1.83626,11.5139
Rapido,1.21597,4.42346
Rapido,1.4385,5.4856
Rapido,1.28689,8.87892
Rapido,0.886965,13.1926
Rapido,1.27499,9.75069
Rapido,3.83571,5.00116
Rapido,1.23194,7.88969
Rapido,1.7567,9.77761
Rapido,1.75258,11.1521
Rapido,1.99223,11.6189
Rapido,2.19956,15.9211
Rapido,3.58649,6.67577
Rapido,2.38033,7.90258
Rapido,2.03199,4.69376
Rapido,1.03081,8.07463
Rapido,3.59533,12.9385
Rapido,1.22448,3.73523
Rapido,1.57642,6.8878
Rapido,1.95229,12.1552
Rapido,2.41296,12.5787
Rapido,1.38862,14.6751
Rapido,0.853037,8.85111
Rapido,3.15062,7.74979
Rapido,3.25125,6.52655
Rapido,1.61078,6.67722
Rapido,1.68482,7.38607
Rapido,2.67943,6.85127
Rapido,2.52373,7.47727
Rapido,3.64852,6.28412
Rapido,2.67112,13.7974
Rapido,4.05832,9.32194
Rapido,2.99947,14.952
Rapido,2.16324,12.4265
Rapido,2.53364,7.93651
Rapido,1.81113,12.0408
Rapido,1.68805,5.36003
Rapido,2.28823,7.85139
Rapido,1.6944,6.09848
Rapido,1.13264,4.45803
Rapido,1.77368,9.36357
Rapido,3.33786,10.6781
Rapido,2.08362,11.6386
Rapido,2.27169,5.13831
Rapido,1.19035,3.3928
Rapido,3.29078,9.26656
Rapido,2.63265,4.99883
Rapido,1.34766,4.61262
Rapido,3.95048,7.94488
Rapido,3.21388,5.48942
Rapido,3.27412,8.69021
Rapido,3.80959,8.78221
Rapido,1.1411,3.814
Rapido,1.01154,6.54709
Rapido,1.38027,3.3629
Rapido,1.10088,6.06082
Rapido,2.14731,14.7479
Rapido,4.23161,8.06429
Rapido,1.38399,7.09671
Rapido,1.12447,2.94983
Rapido,1.39545,5.74906
Rapido,2.0043,4.86311
Rapido,1.39844,6.40067
Rapido,2.63083,7.41608
Rapido,3.82551,6.55461
Rapido,2.54679,8.45218
Rapido,1.70374,10.1658
Rapido,1.5832,15.0751
Rapido,5.01739,7.74631
Rapido,2.93682,6.56408
Rapido,4.00321,9.34878
Rapido,1.43445,5.13496
Rapido,1.33647,4.58534
Rapido,2.092,5.75828
Rapido,3.06083,4.94581
Rapido,3.05417,11.2021
Rapido,1.05965,10.1713
Rapido,2.71598,8.51998
Rapido,1.03698,5.3772
Rapido,2.7768,10.4636
Rapido,2.01642,8.48857
Rapido,0.93826,10.351
Rapido,1.42496,6.60244
Rapido,1.83481,5.67387
Rapido,2.35747,5.81278
Rapido,1.42906,3.69986
Rapido,1.03138,4.48822
Rapido,2.67044,6.96186
Rapido,1.85854,7.64964
Rapido,2.1834,9.33281
Rapido,3.23261,10.6719
Rapido,2.13405,5.05132
Rapido,3.52875,7.17862
Rapido,2.25047,7.65259
Rapido,2.60397,7.39347
Rapido,2.04261,12.6901
Rapido,1.17591,10.3713
Rapido,2.4743,7.2145
Rapido,3.70746,8.72722
Rapido,1.88382,14.149
Rapido,0.699866,9.27974
Rapido,2.33187,15.8619
Rapido,2.47708,5.73959
Rapido,1.12272,6.24572
Rapido,2.1759,9.66671
Rapido,1.29228,7.44867
Rapido,3.82907,8.898
Rapido,1.70845,3.45659
Rapido,4.10223,15.3239
Rapido,3.34195,8.45288
Rapido,2.75322,12.7863
Rapido,1.58775,4.65869
Rapido,1.44186,10.0815
Rapido,2.41967,5.37995
Rapido,6.14555,10.0982
Rapido,2.87877,15.5188
Rapido,1.24967,4.86027
Rapido,2.12525,7.71909
Rapido,1.57635,9.25251
Rapido,3.64243,11.8983
Rapido,1.13401,9.94408
Rapido,2.72539,14.73
Rapido,1.47481,5.43264
Rapido,2.65776,5.17413
Rapido,1.8787,11.2515
Rapido,1.44473,6.419
Rapido,4.9564,7.98312
Rapido,3.08611,8.02659
Rapido,2.50152,9.51042
Rapido,2.62465,6.81353
Rapido,2.86213,10.5534
Rapido,3.1687,15.9197
Rapido,2.4658,5.28456
Rapido,3.38512,13.1693
Rapido,1.52454,6.7889
Rapido,1.29186,13.7044
Rapido,1.24846,8.24908
Rapido,1.90316,12.3639
Rapido,0.891953,4.37411
Rapido,2.91489,5.59979
Rapido,1.84817,9.5698
Rapido,2.53054,6.50468
Rapido,1.86441,6.33855
Rapido,1.87682,4.54347
Rapido,2.24091,15.519
Rapido,2.07953,6.61808
Rapido,4.59497,7.74402
Rapido,1.97903,7.75344
Rapido,1.25741,3.80418
Rapido,3.45228,12.563
Rapido,2.47491,5.68551
Rapido,2.75572,14.6777
Rapido,3.45637,6.09314
Rapido,1.53749,5.88914
Rapido,1.38061,7.1195
Rapido,1.92976,15.5666
Rapido,1.715,9.17138
Rapido,2.43472,10.0533
Rapido,1.1121,10.1448
Rapido,5.22455,7.54017
Rapido,2.9453,9.15221
Rapido,2.87827,8.9256
Rapido,1.213,7.56246
Rapido,1.3865,5.84016
Rapido,4.49239,8.34153
Rapido,1.98941,10.6958
Rapido,2.26675,9.0494
Rapido,2.14816,9.741
Rapido,0.546099,10.9762
Rapido,1.76243,5.67544
Rapido,1.02944,4.67101
Rapido,2.96996,11.6911
Rapido,2.24154,15.3234
Rapido,1.62847,3.8534
Rapido,1.6422,8.83235
Rapido,1.74447,7.39209
Rapido,1.28223,7.29788
Rapido,2.22654,5.13939
Rapido,2.13142,11.2013
Rapido,2.35534,10.2318
Rapido,2.0936,8.54071
Rapido,1.36363,7.78931
Rapido,2.91667,6.27125
Rapido,3.80804,5.14041
Rapido,0.927694,4.82373
Rapido,4.35737,6.13036
Rapido,2.10261,10.4178
Rapido,0.747323,2.12092
Rapido,1.31106,6.195
Rapido,2.06972,8.99393
Rapido,1.61295,5.02418
Rapido,3.11731,4.75374
Rapido,2.00177,9.71821
Rapido,2.59353,7.52116
Rapido,3.45516,10.1763
Rapido,2.16407,8.37724
Rapido,1.08068,1.59649
Rapido,5.22298,14.3757
Rapido,1.8289,12.6486
Rapido,3.21358,5.50561
Rapido,1.98245,6.85024
Rapido,0.95592,3.64116
Rapido,1.6205,4.41657
Rapido,1.45424,4.41515
Rapido,1.75622,9.79884
Rapido,2.53266,6.20568
Rapido,2.51029,5.12166
Rapido,1.46127,6.00302
Rapido,3.15872,7.50209
Rapido,2.03463,6.84207
Rapido,1.60855,6.39951
Rapido,2.15639,4.74627
Rapido,2.03875,5.27506
Rapido,2.1297,5.11009
Rapido,2.13834,9.10682
Rapido,1.63224,6.96296
Rapido,2.35985,12.1489
Rapido,2.61531,7.17461
Rapido,0.907354,6.11145
Rapido,1.87517,8.12739
Rapido,1.56846,11.1565
Rapido,3.78811,10.6301
Rapido,2.7539,14.7099
Rapido,1.54072,4.05608
Rapido,1.58748,8.94173
Rapido,0.690346,7.56447
Rapido,2.58105,7.34294
Rapido,2.90918,7.53829
Rapido,1.61007,8.7244
Rapido,2.18955,4.84611
Rapido,1.74931,4.27649
Rapido,2.01886,8.80415
Rapido,1.44926,7.47869
Rapido,2.56846,4.71358
Rapido,3.76612,9.86754
Rapido,3.8566,10.6627
Rapido,2.21814,13.7896
Rapido,2.60223,7.68881
Rapido,1.12955,9.13566
Rapido,1.51649,7.55611
