cenario,catalise,bioquimica,tempo_apos_formacao_gyr,tempo_cosmico_gyr,temperatura_k
Rapido,fixa,Carbono/agua,1.77133,10.1443,286.506
Rapido,fixa,Carbono/agua,0.367716,3.68242,338.114
Rapido,fixa,Carbono/agua,0.732884,12.4771,299.77
Rapido,fixa,Carbono/agua,12.1901,15.1929,279.653
Rapido,fixa,Carbono/agua,1.49851,4.28024,302.578
Rapido,fixa,Carbono/agua,0.394662,3.82153,321.699
Rapido,fixa,Carbono/agua,0.373795,7.43241,320.457
Rapido,fixa,Carbono/agua,0.654424,13.2693,296.57
Rapido,fixa,Carbono/agua,9.87317,13.0197,279.186
Rapido,fixa,Carbono/agua,0.668714,13.5115,305.877
Rapido,fixa,Carbono/agua,9.36062,16.741,279.631
Rapido,fixa,Carbono/agua,1.17298,7.50604,303.009
Rapido,fixa,Carbono/agua,0.46872,6.86122,328.531
Rapido,fixa,Carbono/agua,0.430456,3.36259,327.896
Rapido,fixa,Carbono/agua,0.449928,5.96041,315.503
Rapido,fixa,Carbono/agua,0.376597,3.22766,332.461
Rapido,fixa,Carbono/agua,0.340065,3.38331,345.086
Rapido,fixa,Carbono/agua,1.81653,7.06831,298.718
Rapido,fixa,Carbono/agua,0.410459,6.67393,337.347
Rapido,fixa,Carbono/agua,0.616728,7.67095,309.457
Rapido,fixa,Carbono/agua,0.323632,13.0524,352.853
Rapido,fixa,Carbono/agua,0.40979,8.98353,320.943
Rapido,fixa,Carbono/agua,2.11767,11.7773,298.898
Rapido,fixa,Carbono/agua,2.0478,4.57328,299.232
Rapido,fixa,Carbono/agua,2.16056,11.2839,287.126
Rapido,fixa,Carbono/agua,2.91608,7.70264,293.6
Rapido,fixa,Carbono/agua,1.48075,12.5687,299.677
Rapido,fixa,Carbono/agua,0.502754,2.94577,320.297
Rapido,fixa,Carbono/agua,5.48238,11.5765,286.57
Rapido,fixa,Carbono/agua,0.62427,6.58332,313.646
Rapido,fixa,Carbono/agua,0.303798,8.34949,333.983
Rapido,fixa,Carbono/agua,0.395239,2.86495,334.488
Rapido,fixa,Carbono/agua,0.334971,4.48524,353.071
Rapido,fixa,Carbono/agua,19.6708,25.2916,281.683
Rapido,fixa,Carbono/agua,0.608213,4.99395,313.01
Rapido,fixa,Carbono/agua,0.364019,5.5117,352.378
Rapido,fixa,Carbono/agua,5.68497,10.6497,298.883
Rapido,fixa,Carbono/agua,0.351854,3.68397,336.104
Rapido,fixa,Carbono/agua,0.625735,6.88258,307.073
Rapido,fixa,Carbono/agua,0.363774,7.03233,343.465
Rapido,fixa,Carbono/agua,2.78437,5.399,284.026
Rapido,fixa,Carbono/agua,0.441946,4.89624,319.702
Rapido,fixa,Carbono/agua,1.4284,8.18049,297.177
Rapido,fixa,Carbono/agua,0.521686,4.5085,317.384
Rapido,fixa,Carbono/agua,1.02967,4.80116,303.517
Rapido,fixa,Carbono/agua,6.0305,14.6328,283.443
Rapido,fixa,Carbono/agua,1.34086,7.1819,300.597
Rapido,fixa,Carbono/agua,0.491995,10.5179,311.171
