rodada,ano,civilizacao,cultura,melhor,classes,experimentos
16,75,3,Carbono/metano,2.8,4,415
16,75,4,Silicio/agua,3.76,5,975
16,75,5,Silicio/acido sulfurico,3.76,5,1319
16,80,0,Carbono/agua,4.68,6,1060
16,80,1,Carbono/amonia,2.82,4,734
16,80,2,Carbono/acido sulfurico,3.76,5,1364
16,80,3,Carbono/metano,2.8,4,470
16,80,4,Silicio/agua,3.76,5,1107
16,80,5,Silicio/acido sulfurico,3.76,5,1493
16,85,0,Carbono/agua,4.68,6,1198
16,85,1,Carbono/amonia,2.82,4,830
16,85,2,Carbono/acido sulfurico,3.76,5,1541
16,85,3,Carbono/metano,3.7,5,531
16,85,4,Silicio/agua,3.76,5,1251
16,85,5,Silicio/acido sulfurico,3.76,5,1690
16,90,0,Carbono/agua,4.68,6,1352
16,90,1,Carbono/amonia,2.82,4,935
16,90,2,Carbono/acido sulfurico,4.68,6,1738
16,90,3,Carbono/metano,3.7,5,598
16,90,4,Silicio/agua,3.76,5,1410
16,90,5,Silicio/acido sulfurico,3.76,5,1904
16,95,0,Carbono/agua,4.7,6,1520
16,95,1,Carbono/amonia,3.72,5,1052
16,95,2,Carbono/acido sulfurico,4.7,6,1955
16,95,3,Carbono/metano,3.72,5,672
16,95,4,Silicio/agua,3.76,5,1587
16,95,5,Silicio/acido sulfurico,4.68,6,2141
16,100,0,Carbono/agua,4.7,6,1707
16,100,1,Carbono/amonia,3.74,5,1181
16,100,2,Carbono/acido sulfurico,4.7,6,2193
16,100,3,Carbono/metano,3.72,5,754
16,100,4,Silicio/agua,3.76,5,1781
16,100,5,Silicio/acido sulfurico,4.68,6,2402
16,105,0,Carbono/agua,4.7,6,1913
16,105,1,Carbono/amonia,3.74,5,1323
16,105,2,Carbono/acido sulfurico,4.7,6,2457
16,105,3,Carbono/metano,3.74,5,846
16,105,4,Silicio/agua,3.76,5,1995
16,105,5,Silicio/acido sulfurico,4.7,6,2691
16,110,0,Carbono/agua,4.7,6,2142
16,110,1,Carbono/amonia,3.74,5,1480
16,110,2,Carbono/acido sulfurico,4.7,6,2749
16,110,3,Carbono/metano,3.74,5,949
16,110,4,Silicio/agua,3.76,5,2232
16,110,5,Silicio/acido sulfurico,4.7,6,2912
16,115,0,Carbono/agua,4.7,6,2393
16,115,1,Carbono/amonia,3.74,5,1654
16,115,2,Carbono/acido sulfurico,4.7,6,3072
16,115,3,Carbono/metano,3.74,5,1063
16,115,4,Silicio/agua,3.76,5,2492
16,115,5,Silicio/acido sulfurico,4.7,6,3089
16,120,0,Carbono/agua,4.7,6,2671
16,120,1,Carbono/amonia,5.74,6,1847
16,120,2,Carbono/acido sulfurico,4.7,6,3428
16,120,3,Carbono/metano,6.7,7,1186
16,120,4,Silicio/agua,3.76,5,2781
16,120,5,Silicio/acido sulfurico,4.7,6,3283
16,125,0,Carbono/agua,4.7,6,2978
16,125,1,Carbono/amonia,6.7,7,2059
16,125,2,Carbono/acido sulfurico,4.7,6,3818
16,125,3,Carbono/metano,6.72,7,1321
16,125,4,Silicio/agua,3.76,5,3098
16,125,5,Silicio/acido sulfurico,4.7,6,3497
16,130,0,Carbono/agua,4.7,6,3317
16,130,1,Carbono/amonia,6.72,7,2293
16,130,2,Carbono/acido sulfurico,4.7,6,4250
16,130,3,Carbono/metano,6.72,7,1472
16,130,4,Silicio/agua,3.76,5,3449
16,130,5,Silicio/acido sulfurico,4.7,6,3734
16,135,0,Carbono/agua,4.7,6,3690
16,135,1,Carbono/amonia,6.72,7,2552
16,135,2,Carbono/acido sulfurico,4.7,6,4728
16,135,3,Carbono/metano,6.72,7,1637
16,135,4,Silicio/agua,3.76,5,3838
16,135,5,Silicio/acido sulfurico,4.7,6,3996
16,140,0,Carbono/agua,4.7,6,4103
16,140,1,Carbono/amonia,6.72,7,2836
16,140,2,Carbono/acido sulfurico,4.7,6,5255
16,140,3,Carbono/metano,6.72,7,1821
16,140,4,Silicio/agua,4.68,6,4266
16,140,5,Silicio/acido sulfurico,4.7,6,4285
16,145,0,Carbono/agua,4.7,6,4558
16,145,1,Carbono/amonia,6.72,7,3150
16,145,2,Carbono/acido sulfurico,4.7,6,5837
16,145,3,Carbono/metano,6.72,7,2024
16,145,4,Silicio/agua,4.7,6,4739
16,145,5,Silicio/acido sulfurico,4.7,6,4602
16,150,0,Carbono/agua,4.7,6,5060
16,150,1,Carbono/amonia,6.72,7,3497
16,150,2,Carbono/acido sulfurico,4.7,6,6479
16,150,3,Carbono/metano,6.72,7,2248
16,150,4,Silicio/agua,4.7,6,5262
16,150,5,Silicio/acido sulfurico,4.7,6,4955
16,155,0,Carbono/agua,4.7,6,5615
16,155,1,Carbono/amonia,6.72,7,3881
16,155,2,Carbono/acido sulfurico,4.7,6,7190
16,155,3,Carbono/metano,6.72,7,2493
16,155,4,Silicio/agua,4.7,6,5838
16,155,5,Silicio/acido sulfurico,6.7,8,5583
16,160,0,Carbono/agua,4.7,6,6229
16,160,1,Carbono/amonia,6.72,7,4305
16,160,2,Carbono/acido sulfurico,4.7,6,7973
16,160,3,Carbono/metano,6.72,7,2765
16,160,4,Silicio/agua,4.7,6,6473
16,160,5,Silicio/acido sulfurico,6.72,8,6444
16,165,0,Carbono/agua,4.7,6,6905
16,165,1,Carbono/amonia,6.72,7,4772
16,165,2,Carbono/acido sulfurico,4.7,6,8840
16,165,3,Carbono/metano,6.72,7,3065
16,165,4,Silicio/agua,4.7,6,7174
16,165,5,Silicio/acido sulfurico,6.72,8,7394
16,170,0,Carbono/agua,4.7,6,7654
16,170,1,Carbono/amonia,6.72,7,5290
16,170,2,Carbono/acido sulfurico,4.7,6,9797
16,170,3,Carbono/metano,6.72,7,3397
16,170,4,Silicio/agua,4.7,6,7949
16,170,5,Silicio/acido sulfurico,6.72,8,8443
16,175,0,Carbono/agua,4.7,6,8478
16,175,1,Carbono/amonia,6.72,7,5844
16,175,2,Carbono/acido sulfurico,4.7,6,10824
16,175,3,Carbono/metano,6.72,7,3753
16,175,4,Silicio/agua,4.7,6,8804
16,175,5,Silicio/acido sulfurico,6.72,8,9570
16,180,0,Carbono/agua,4.7,6,9388
16,180,1,Carbono/amonia,6.72,7,6399
16,180,2,Carbono/acido sulfurico,4.7,6,11854
16,180,3,Carbono/metano,6.72,7,4111
16,180,4,Silicio/agua,5.74,7,9748
16,180,5,Silicio/acido sulfurico,6.72,8,10698
16,185,0,Carbono/agua,4.7,6,10393
16,185,1,Carbono/amonia,6.72,7,6955
16,185,2,Carbono/acido sulfurico,4.7,6,12884
16,185,3,Carbono/metano,6.72,7,4467
16,185,4,Silicio/agua,6.72,8,10792
16,185,5,Silicio/acido sulfurico,6.72,8,11826
16,190,0,Carbono/agua,4.7,6,11502
16,190,1,Carbono/amonia,6.72,7,7510
16,190,2,Carbono/acido sulfurico,4.7,6,13914
16,190,3,Carbono/metano,6.72,7,4823
16,190,4,Silicio/agua,6.72,8,11943
16,190,5,Silicio/acido sulfurico,6.72,8,12954
16,195,0,Carbono/agua,4.7,6,12727
16,195,1,Carbono/amonia,6.72,7,8065
16,195,2,Carbono/acido sulfurico,4.7,6,14944
16,195,3,Carbono/metano,6.72,7,5181
16,195,4,Silicio/agua,6.72,8,13215
16,195,5,Silicio/acido sulfurico,6.72,8,14083
16,200,0,Carbono/agua,4.7,6,14080
16,200,1,Carbono/amonia,6.72,7,8621
16,200,2,Carbono/acido sulfurico,4.7,6,15974
16,200,3,Carbono/metano,6.72,7,5539
16,200,4,Silicio/agua,6.72,8,14619
16,200,5,Silicio/acido sulfurico,6.72,8,15211
16,205,0,Carbono/agua,4.7,6,15572
16,205,1,Carbono/amonia,6.72,7,9176
16,205,2,Carbono/acido sulfurico,4.7,6,17003
16,205,3,Carbono/metano,6.72,7,5897
16,205,4,Silicio/agua,6.72,8,16170
16,205,5,Silicio/acido sulfurico,6.72,8,16341
16,210,0,Carbono/agua,4.7,6,17222
16,210,1,Carbono/amonia,6.72,7,9732
16,210,2,Carbono/acido sulfurico,4.7,6,18033
16,210,3,Carbono/metano,6.72,7,6253
16,210,4,Silicio/agua,6.72,8,17883
16,210,5,Silicio/acido sulfurico,6.72,8,17471
16,215,0,Carbono/agua,6.72,8,19043
16,215,1,Carbono/amonia,6.72,7,10288
16,215,2,Carbono/acido sulfurico,4.7,6,19063
16,215,3,Carbono/metano,6.72,7,6609
16,215,4,Silicio/agua,6.72,8,19773
16,215,5,Silicio/acido sulfurico,6.72,8,18601
16,220,0,Carbono/agua,6.72,8,21053
16,220,1,Carbono/amonia,6.72,7,10844
16,220,2,Carbono/acido sulfurico,4.7,6,20092
16,220,3,Carbono/metano,6.72,7,6965
16,220,4,Silicio/agua,6.72,8,21860
16,220,5,Silicio/acido sulfurico,6.72,8,19730
16,225,0,Carbono/agua,6.72,8,23272
16,225,1,Carbono/amonia,6.72,7,11399
16,225,2,Carbono/acido sulfurico,4.7,6,21120
16,225,3,Carbono/metano,6.72,7,7321
16,225,4,Silicio/agua,6.72,8,24164
16,225,5,Silicio/acido sulfurico,6.72,8,20860
16,230,0,Carbono/agua,6.72,8,25723
16,230,1,Carbono/amonia,6.72,7,11954
16,230,2,Carbono/acido sulfurico,4.7,6,22148
16,230,3,Carbono/metano,6.72,7,7678
16,230,4,Silicio/agua,6.72,8,26707
16,230,5,Silicio/acido sulfurico,6.72,8,21988
16,235,0,Carbono/agua,6.72,8,28382
16,235,1,Carbono/amonia,6.72,7,12509
16,235,2,Carbono/acido sulfurico,4.7,6,23177
16,235,3,Carbono/metano,6.72,7,8035
16,235,4,Silicio/agua,6.72,8,29468
16,235,5,Silicio/acido sulfurico,6.72,8,23117
16,240,0,Carbono/agua,6.72,8,31063
16,240,1,Carbono/amonia,6.72,7,13064
16,240,2,Carbono/acido sulfurico,4.7,6,24207
16,240,3,Carbono/metano,6.72,7,8391
16,240,4,Silicio/agua,6.72,8,32252
16,240,5,Silicio/acido sulfurico,6.72,8,24247
16,245,0,Carbono/agua,6.72,8,33743
16,245,1,Carbono/amonia,6.72,7,13619
16,245,2,Carbono/acido sulfurico,4.7,6,25236
16,245,3,Carbono/metano,6.72,7,8748
16,245,4,Silicio/agua,6.72,8,35036
16,245,5,Silicio/acido sulfurico,6.72,8,25375
16,250,0,Carbono/agua,6.72,8,36423
16,250,1,Carbono/amonia,6.72,7,14175
16,250,2,Carbono/acido sulfurico,4.7,6,26266
16,250,3,Carbono/metano,6.72,7,9106
16,250,4,Silicio/agua,6.72,8,37819
16,250,5,Silicio/acido sulfurico,6.72,8,26505
16,255,0,Carbono/agua,6.72,8,39104
16,255,1,Carbono/amonia,6.72,7,14731
16,255,2,Carbono/acido sulfurico,4.7,6,27296
16,255,3,Carbono/metano,6.72,7,9464
16,255,4,Silicio/agua,6.72,8,40602
16,255,5,Silicio/acido sulfurico,6.72,8,27635
16,260,0,Carbono/agua,6.72,8,41785
16,260,1,Carbono/amonia,6.72,7,15288
16,260,2,Carbono/acido sulfurico,4.7,6,28326
16,260,3,Carbono/metano,6.72,7,9820
16,260,4,Silicio/agua,6.72,8,43385
16,260,5,Silicio/acido sulfurico,6.72,8,28764
16,265,0,Carbono/agua,6.72,8,44465
16,265,1,Carbono/amonia,6.72,7,15845
16,265,2,Carbono/acido sulfurico,4.7,6,29356
16,265,3,Carbono/metano,6.72,7,10177
16,265,4,Silicio/agua,6.72,8,46168
16,265,5,Silicio/acido sulfurico,6.72,8,29894
16,270,0,Carbono/agua,6.72,8,47147
16,270,1,Carbono/amonia,6.72,7,16401
16,270,2,Carbono/acido sulfurico,4.7,6,30385
16,270,3,Carbono/metano,6.72,7,10533
16,270,4,Silicio/agua,6.72,8,48952
16,270,5,Silicio/acido sulfurico,6.72,8,31021
16,275,0,Carbono/agua,6.72,8,49559
16,275,1,Carbono/amonia,6.72,7,16956
16,275,2,Carbono/acido sulfurico,4.7,6,31415
16,275,3,Carbono/metano,6.72,7,10889
16,275,4,Silicio/agua,6.72,8,51734
16,275,5,Silicio/acido sulfurico,6.72,8,32150
16,280,0,Carbono/agua,6.72,8,50901
16,280,1,Carbono/amonia,6.72,7,17512
16,280,2,Carbono/acido sulfurico,4.7,6,32445
16,280,3,Carbono/metano,6.72,7,11246
16,280,4,Silicio/agua,6.72,8,54518
16,280,5,Silicio/acido sulfurico,6.72,8,33278
16,285,0,Carbono/agua,6.72,8,52241
16,285,1,Carbono/amonia,6.72,7,18068
16,285,2,Carbono/acido sulfurico,4.7,6,33475
16,285,3,Carbono/metano,6.72,7,11602
16,285,4,Silicio/agua,6.72,8,57302
16,285,5,Silicio/acido sulfurico,6.72,8,34406
16,290,0,Carbono/agua,6.72,8,53582
16,290,1,Carbono/amonia,6.72,7,18624
16,290,2,Carbono/acido sulfurico,4.7,6,34505
16,290,3,Carbono/metano,6.72,7,11959
16,290,4,Silicio/agua,6.72,8,60084
16,290,5,Silicio/acido sulfurico,6.72,8,35536
16,295,0,Carbono/agua,6.72,8,54922
16,295,1,Carbono/amonia,6.72,7,19181
16,295,2,Carbono/acido sulfurico,4.7,6,35535
16,295,3,Carbono/metano,6.72,7,12316
16,295,4,Silicio/agua,6.72,8,62865
16,295,5,Silicio/acido sulfurico,6.72,8,36663
16,300,0,Carbono/agua,6.72,8,56798
16,300,1,Carbono/amonia,6.72,7,19736
16,300,2,Carbono/acido sulfurico,4.7,6,36565
16,300,3,Carbono/metano,6.72,7,12674
16,300,4,Silicio/agua,6.72,8,65646
16,300,5,Silicio/acido sulfurico,6.72,8,37791
17,0,0,Carbono/agua,0.9,2,6
17,0,1,Carbono/amonia,0.72,2,4
17,0,2,Carbono/acido sulfurico,1.72,3,7
17,0,3,Carbono/metano,1.74,2,2
17,0,4,Silicio/agua,0.76,2,5
17,0,5,Silicio/acido sulfurico,0.86,2,8
17,5,0,Carbono/agua,1.86,3,35
17,5,1,Carbono/amonia,1.78,3,25
17,5,2,Carbono/acido sulfurico,1.74,3,45
17,5,3,Carbono/metano,1.74,3,15
17,5,4,Silicio/agua,1.78,3,34
17,5,5,Silicio/acido sulfurico,1.84,3,48
17,10,0,Carbono/agua,1.86,3,66
17,10,1,Carbono/amonia,1.88,3,45
17,10,2,Carbono/acido sulfurico,2.72,4,86
17,10,3,Carbono/metano,1.86,3,29
17,10,4,Silicio/agua,1.82,3,68
17,10,5,Silicio/acido sulfurico,1.84,3,92
17,15,0,Carbono/agua,1.86,3,102
17,15,1,Carbono/amonia,1.88,3,70
17,15,2,Carbono/acido sulfurico,2.78,4,132
17,15,3,Carbono/metano,1.86,3,45
17,15,4,Silicio/agua,1.82,3,104
17,15,5,Silicio/acido sulfurico,1.84,3,141
17,20,0,Carbono/agua,1.86,3,141
17,20,1,Carbono/amonia,1.88,3,96
17,20,2,Carbono/acido sulfurico,2.82,4,182
17,20,3,Carbono/metano,1.86,3,63
17,20,4,Silicio/agua,2.8,4,144
17,20,5,Silicio/acido sulfurico,2.78,4,195
17,25,0,Carbono/agua,1.88,3,182
